phrase,type,neutral,aliases,stemmable,regex,remove
finally,clickbait,now,,,,true
devastate,clickbait,,,verb,,
bombshell,clickbait,,,,,
shock,clickbait,,,verb,,true
exclusive,clickbait,,,,,true
inside-story,clickbait,,,,,true
jaw-dropping,clickbait,surprising,,,,
breaking,clickbait,,,,,
must-see,clickbait,,,,,true
must-watch,clickbait,,,,,true
shocking,clickbait,,,,,
stunning,clickbait,,,,,
nightmare,clickbait,,,,,
you won't believe,clickbait,,,,,
wild,clickbait,,,,,true
reveal,clickbait,disclose,,verb,,
