phrase,type,neutral,aliases,stemmable,regex,remove
huge,exaggeration,large,,,,
massive,exaggeration,large,,,,
totally,exaggeration,completely,,,,
up to,exaggeration,as much as,,,\bup to(?=\s+\d),
countless,exaggeration,many,,,,
staggering,exaggeration,large,,,,true
eye-watering,exaggeration,,,adjective,,true
eye-popping,exaggeration,,,,,true
breath-taking,exaggeration,breathtaking,breathtaking,,,true
outrageous,exaggeration,,,,,true
alarming,exaggeration,concerning,,,,
incredibly,exaggeration,very,,,,true
incredible,exaggeration,,,,,true
severe,negative-framing,,,,,

