phrase,type,neutral,aliases,stemmable,regex,remove
so-called,loaded-framing,called,,,,
loophole,loaded-framing,gap,,,,
elitist,loaded-framing,elite,,,,
poison pill,loaded-framing,,,,,
level playing field,loaded-framing,,,,,
science and common sense,loaded-framing,,,,,
rightsize,loaded-framing,,,verb,,
sunsetting,loaded-framing,,,,,
sunset,loaded-framing,,,,,
officer-involved shooting,loaded-framing,shooting involving police,,,,
self-styled,loaded-framing,self-described,,,,
runaway debt,loaded-framing,,,,,
